slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
table,Outreach,"Hi, I am Civilian Employee Allie Gumas from the Department of Sanitation’s Bureau of Recycling and Sustainability (BRS). At BRS, we work citywide to help residents reduce, reuse, and recycle.",,,,,,
apartment,Apartment Pickup,"E-waste (or electronic waste), such as cellphones, laptops, and televisions, is picked up from apartment buildings that are enrolled in DSNY’s electronics recycling program. DSNY works with a company called ERI, which takes care of picking up and transporting the e-waste.
",,,,,,
event,Drop-off Event,"If your apartment building does not have an ecycle bin, you can take your e-waste to a DSNY special waste drop-off site or to a SAFE disposal event. ",,,,,,
eri,ERI,"After your e-waste is collected, it is taken to ERI’s processing facility in Lincoln Park, New Jersey.",,,,,,
sorting-ewaste,Sorting,"Once it arrives at ERI Lincoln Park, all electronic equipment is separated by type and weighed.
",,,,,,
inspect,Inspecting,"Following weighing and registration, an ERI employee will grade the physical condition of the product to identify equipment that can be refurbished and resold.",,,,,,
laptop,Testing Laptops,"Any materials that can be reused are evaluated, refurbished, and tested. They can then be sold on the reuse market and given a second life. All electronics that contain personal information, such as laptops and cellphones, are wiped of their data before being resold.",,,,,,
smartphone,Smartphone,Any materials that cannot be reused are taken apart. ,,,,,,
ernie,Shredding Material,"Flat-screen TVs and laptop screens are sent through ERI’s shredding system, also known as ERNIE (Electronic Recyclers Next Innovation Efficiency). ERNIE shreds the items and stores mercury and other toxic materials in an airtight container.
",,,,,,
sam,Robotic Sorting,"ERI’s robotic system, SAM (Super Automated Machine), further sorts the materials based on commodity types, including circuit boards, which contain precious metals, such as copper, plastic, steel, and aluminum.
",,,,,,
end-ewaste,Recycled!,"All of these materials end up in products sold on the market today.
",,,,,,
